日期,Close,開市,高,低,成交量,升跌（%）
2025/1/31,209.32,209.93,215,208.2,15.78M,0.56%
2025/1/30,208.15,206.57,209.62,205.42,13.54M,2.88%
2025/1/29,202.33,204.49,206.45,199.75,15.20M,-0.03%
2025/1/28,202.4,195.65,202.84,192.46,31.74M,5.25%
2025/1/27,192.31,197.04,207,187.66,68.67M,-13.33%
2025/1/24,221.88,226.22,226.4,220.96,13.18M,-1.22%
2025/1/23,224.62,220.1,224.7,219.41,8.99M,0.64%
2025/1/22,223.2,221.95,225.43,219.31,17.29M,2.06%
2025/1/21,218.7,214.46,220.15,212.05,19.06M,3.40%
2025/1/17,211.5,215.17,215.68,211.06,21.61M,-1.53%
2025/1/16,214.79,218.89,221.95,213.17,38.54M,3.86%
2025/1/15,206.8,202.49,209.04,199.35,18.29M,2.66%
2025/1/14,201.45,205.18,206.26,198.5,14.18M,0.04%
2025/1/13,201.36,200.52,203.59,200.05,16.61M,-3.36%
2025/1/10,208.37,207.6,209.98,203.23,17.27M,0.60%
2025/1/8,207.12,209.97,210.3,205.92,13.26M,-2.03%
2025/1/7,211.42,221.24,221.48,211.32,17.01M,-3.90%
2025/1/6,220.01,218.77,222.2,215.69,24.34M,5.46%
2025/1/3,208.61,204.1,208.8,203.7,10.26M,3.49%
2025/1/2,201.58,197,203.77,196.69,10.95M,2.07%
2024/12/31,197.49,200.79,201.78,197.36,6.43M,-1.45%
2024/12/30,200.39,199.84,201.97,198.48,11.24M,-0.61%
2024/12/27,201.63,204.5,204.5,199.05,10.66M,-0.70%
2024/12/26,203.06,205.5,208.16,202.89,8.05M,-1.58%
2024/12/24,206.33,205.92,207.2,204.55,7.63M,-0.50%
2024/12/23,207.36,201,208.05,200.9,17.85M,5.15%
2024/12/20,197.21,192.6,198.08,191.98,16.17M,1.32%
2024/12/19,194.64,198.4,198.57,193.95,10.55M,-0.47%
2024/12/18,195.56,203,205.24,193.96,14.72M,-2.54%
2024/12/17,200.66,201,202.4,197.47,11.17M,-0.77%
2024/12/16,202.22,203.2,205.5,200.87,15.14M,0.61%
2024/12/13,200.99,198.51,202.54,197.27,19.48M,4.98%
2024/12/12,191.46,194.63,195.42,191.29,7.94M,-1.61%
2024/12/11,194.6,194.67,196,193.26,9.03M,1.39%
2024/12/10,191.94,199.1,199.91,190.37,15.31M,-3.63%
2024/12/9,199.17,200.93,203.13,198.98,9.70M,-1.90%
2024/12/6,203.02,202,203.19,199.93,9.67M,-0.63%
2024/12/5,204.3,201.25,205.63,200.75,12.48M,1.80%
2024/12/4,200.69,199.85,202.6,198.27,12.76M,0.91%
2024/12/3,198.89,193.5,199,192.6,11.22M,2.31%
2024/12/2,194.4,189.34,195.29,188.94,16.65M,5.27%
2024/11/29,184.66,181.51,186.95,181.18,8.05M,1.92%
2024/11/27,181.19,182,182.45,178.05,9.90M,-1.44%
2024/11/26,183.84,185.4,185.9,182.33,10.19M,-0.67%
2024/11/25,185.08,188.09,188.25,183.71,14.38M,-2.63%
2024/11/22,190.08,192.95,193,189.43,8.84M,-0.61%
2024/11/21,191.24,189.41,192.3,186.74,18.14M,1.53%
2024/11/20,188.36,188.85,188.85,184.06,10.62M,-0.69%
2024/11/19,189.67,189.13,190.02,188.02,9.39M,1.17%
2024/11/18,187.48,184.35,188,183.49,10.69M,0.79%
2024/11/15,186.01,188.18,188.8,184.81,9.83M,-1.32%
2024/11/14,188.5,188.4,192.66,187.54,11.45M,0.99%
2024/11/13,186.66,192.44,192.48,186.5,13.88M,-2.66%
2024/11/12,191.77,193.83,194,189.72,11.82M,-1.17%
2024/11/11,194.05,197.96,198.2,191.49,16.61M,-3.55%
2024/11/8,201.2,203.89,206.61,200.02,13.11M,0.00%
2024/11/7,201.19,196.31,202.01,196.25,14.87M,4.12%
2024/11/6,193.22,192.04,194.26,188.5,19.83M,-1.30%
2024/11/5,195.76,193.58,198.34,193.49,10.34M,2.19%
2024/11/4,191.56,193.7,194.36,190.6,10.92M,-0.72%
2024/11/1,192.95,194.2,198.17,192.55,12.69M,1.26%
2024/10/31,190.54,192.86,192.86,187.66,13.06M,-2.03%
2024/10/30,194.48,194.38,195.45,192.61,10.01M,-1.25%
2024/10/29,196.94,194.39,198.79,193.6,13.78M,1.16%
2024/10/28,194.68,199.26,199.74,194.52,20.14M,-4.31%
2024/10/25,203.44,200.25,205.2,200,13.43M,2.78%
2024/10/24,197.93,198.96,200.5,197.41,9.94M,-1.46%
2024/10/23,200.86,196.68,203.13,196.23,16.54M,1.20%
2024/10/22,198.48,199.07,200.17,197.11,11.17M,-1.72%
2024/10/21,201.95,200.81,203.44,199.66,14.82M,0.58%
2024/10/18,200.78,205.95,205.95,200.76,21.03M,-2.46%
2024/10/17,205.84,203.35,212.6,201.97,62.27M,9.79%
2024/10/16,187.48,189.78,190.01,186.66,18.69M,0.19%
2024/10/15,187.13,192.96,193.62,184.25,21.81M,-2.64%
2024/10/14,192.21,190.61,194.25,190.5,11.71M,0.73%
2024/10/11,190.81,188.17,191.49,188.01,12.16M,2.71%
2024/10/10,185.78,185.86,187.08,184.4,6.44M,-0.73%
2024/10/9,187.14,187.8,188,182.26,11.93M,0.59%
2024/10/8,186.05,184.96,186.54,182.03,10.39M,0.83%
2024/10/7,184.51,181.6,185,180.93,12.05M,1.85%
2024/10/4,181.16,179.7,181.23,177.55,10.00M,0.94%
2024/10/3,179.48,175.8,180.79,175.12,12.56M,2.09%
2024/10/2,175.8,172.96,176.97,170.79,11.16M,2.17%
2024/10/1,172.07,175.31,175.99,170.78,11.85M,-0.92%
2024/9/30,173.67,174.27,176.82,171.93,13.56M,-2.42%
2024/9/27,177.97,185.84,185.94,177.4,17.91M,-4.74%
2024/9/26,186.83,188.49,189.33,183.8,15.10M,2.46%
2024/9/25,182.35,181.52,183.82,181.21,8.28M,0.21%
2024/9/24,181.97,179.5,182.78,177.05,14.58M,4.13%
2024/9/23,174.76,174.84,175.4,173.7,5.79M,0.39%
2024/9/20,174.08,174.87,176.02,173.65,18.43M,-1.21%
2024/9/19,176.22,174.38,177.78,172.63,15.86M,5.34%
2024/9/18,167.28,168.46,171.6,167,9.12M,-0.04%
2024/9/17,167.35,169.35,170.24,166.35,8.58M,-1.02%
2024/9/16,169.08,169.91,170.56,166.77,12.19M,-1.98%
2024/9/13,172.5,172.24,174.76,171.45,8.79M,0.62%
2024/9/12,171.43,170.6,172.15,169,13.42M,0.70%
2024/9/11,170.23,163.8,170.38,161.42,15.06M,4.80%
2024/9/10,162.43,162.89,162.89,157.69,11.91M,-0.22%
2024/9/9,162.78,160.76,163.1,160.25,10.34M,3.80%
2024/9/6,156.82,164.89,165.41,156.01,14.96M,-4.20%
2024/9/5,163.7,161.54,164.59,161.05,10.26M,1.76%
2024/9/4,160.87,159.3,163.88,158.95,11.32M,0.24%
2024/9/3,160.49,168,168.68,159.8,18.46M,-6.53%
2024/8/30,171.7,170.05,172.23,168.75,9.48M,1.51%
2024/8/29,169.15,168.65,175.42,167.51,13.21M,-0.03%
2024/8/28,169.2,171.32,172.46,166.2,10.58M,-0.79%
2024/8/27,170.55,166.42,170.58,165.04,9.19M,0.88%
2024/8/26,169.07,170.38,171.05,167.82,9.61M,-1.29%
2024/8/23,171.28,169,173.29,167.91,12.19M,2.91%
2024/8/22,166.44,172,173.28,166.06,13.55M,-2.92%
2024/8/21,171.44,170.36,173.08,169.91,9.43M,-0.35%
2024/8/20,172.04,175.4,175.4,169.85,13.56M,-1.94%
2024/8/19,175.45,174.76,175.45,171.1,11.51M,0.52%
2024/8/16,174.54,173.39,175,172.25,10.71M,0.33%
2024/8/15,173.96,172.43,175.44,170.82,15.39M,2.35%
2024/8/14,169.97,171.88,172.51,167.19,11.51M,-1.38%
2024/8/13,172.34,168,172.45,166.34,15.24M,2.81%
2024/8/12,167.63,166,169.53,165.54,14.73M,0.31%
2024/8/9,167.12,166.32,167.8,163.24,20.52M,1.56%
2024/8/8,164.55,159.27,164.75,155.54,18.89M,6.13%
2024/8/7,155.04,161.55,162.65,154.52,22.38M,-0.23%
2024/8/6,155.39,150.44,157.71,147.72,24.53M,5.03%
2024/8/5,147.95,133.86,150,133.57,31.19M,-1.27%
2024/8/2,149.86,151.25,153.86,146.89,31.10M,-5.26%
2024/8/1,158.18,163.48,167.66,156.84,21.10M,-4.60%
2024/7/31,165.8,163.77,166.65,162.07,19.86M,7.29%
2024/7/30,154.54,160.44,161.15,152.55,22.02M,-3.42%
2024/7/29,160.01,162.68,163.23,158.63,12.66M,-1.19%
2024/7/26,161.94,164.3,164.59,159.19,13.09M,1.04%
2024/7/25,160.28,158.16,163.4,152.11,25.73M,0.30%
2024/7/24,159.8,165.09,165.45,159.59,19.54M,-5.90%
2024/7/23,169.82,169.42,171.54,167.97,11.69M,0.28%
2024/7/22,169.35,166.61,170.88,166.18,21.04M,2.16%
2024/7/19,165.77,169.17,170.52,165.22,22.59M,-3.55%
2024/7/18,171.87,175.5,178.69,164.51,52.90M,0.39%
2024/7/17,171.2,175.21,176.58,170.51,45.05M,-7.98%
2024/7/16,186.04,188.27,189.59,185.02,16.66M,0.44%
2024/7/15,185.22,188.68,190.06,184.08,15.68M,-1.14%
2024/7/12,187.35,183.07,190.38,182.75,19.22M,1.54%
2024/7/11,184.5,193.09,193.47,183.01,21.58M,-3.43%
2024/7/10,191.05,188.28,191.42,186.7,19.29M,3.54%
2024/7/9,184.52,188.09,188.44,182.5,19.97M,-1.13%
2024/7/8,186.63,190,192.8,185.13,22.58M,1.43%
2024/7/5,183.99,184.14,185.08,182.3,11.37M,0.82%
2024/7/3,182.49,177.99,182.49,177.88,11.81M,3.86%
2024/7/2,175.7,171.13,176.71,171.03,10.66M,1.96%
2024/7/1,172.33,174.24,175.3,170.45,10.72M,-0.85%
2024/6/28,173.81,172.81,176.82,172.81,11.22M,1.27%
2024/6/27,171.63,173.79,175.48,171.15,10.86M,-0.26%
2024/6/26,172.07,172.12,173.69,170.2,11.90M,-0.31%
2024/6/25,172.6,169.95,172.64,169.01,13.48M,2.85%
2024/6/24,167.81,170.43,171.42,167.12,19.74M,-3.54%
2024/6/21,173.96,172.71,177.48,172.21,20.27M,-0.81%
2024/6/20,175.38,182.58,183.17,173.5,28.40M,-2.40%
2024/6/18,179.69,180.02,184.86,178.99,27.16M,1.38%
2024/6/17,177.24,177.84,178.67,173.48,18.59M,2.74%
2024/6/14,172.51,172,173.64,170.36,9.19M,-0.23%
2024/6/13,172.91,172.95,174.07,170.51,15.59M,-0.04%
2024/6/12,172.98,173.36,176.06,171.54,20.31M,4.39%
2024/6/11,165.71,168.18,168.4,163.79,11.51M,-1.46%
2024/6/10,168.16,164,169.84,162.42,12.44M,2.29%
2024/6/7,164.39,163.57,166.12,161.96,14.02M,1.43%
2024/6/6,162.07,164.52,164.7,160.36,14.82M,-0.52%
2024/6/5,162.92,158.59,163.73,157.95,23.19M,6.85%
2024/6/4,152.47,153.4,153.79,150.99,10.07M,-1.60%
2024/6/3,154.95,155.12,157.15,152.46,12.92M,2.59%
2024/5/31,151.04,151.48,152.5,147.81,13.78M,-1.26%
2024/5/30,152.96,153.59,154.05,151.89,9.71M,-0.89%
2024/5/29,154.34,156.75,156.88,153.21,15.78M,-3.18%
2024/5/28,159.41,159.68,160.38,157.6,13.96M,-0.37%
2024/5/24,160,157.2,160.66,156.71,11.91M,1.85%
2024/5/23,157.09,159.18,160.78,155.87,20.87M,0.60%
2024/5/22,156.15,155.88,157.23,154.54,13.46M,1.61%
2024/5/21,153.67,152.3,153.99,151.95,7.92M,0.08%
2024/5/20,153.55,151.67,154.24,150.82,9.26M,1.23%
2024/5/17,151.68,154,154,150.84,7.71M,-0.36%
2024/5/16,152.23,154.1,155.05,152.21,13.39M,-2.15%
2024/5/15,155.58,153.36,156,152.73,14.03M,2.39%
2024/5/14,151.95,146.49,152.01,146.25,12.32M,3.78%
2024/5/13,146.41,148.02,148.44,146.3,8.28M,-1.91%
2024/5/10,149.26,147.22,150.49,146.93,23.67M,4.53%
2024/5/9,142.79,142.94,143.35,141.13,8.01M,-0.56%
2024/5/8,143.6,141.11,144.26,140.8,10.20M,1.76%
2024/5/7,141.11,141.87,142.29,140.51,8.68M,-1.20%
2024/5/6,142.83,140.47,142.83,139.81,8.60M,0.90%
2024/5/3,141.56,138.9,142.11,138.76,13.26M,3.91%
2024/5/2,136.23,135.6,136.74,133.22,9.26M,0.96%
2024/5/1,134.94,137.42,139.43,133.21,12.57M,-1.75%
2024/4/30,137.34,137.94,139.7,137.26,10.98M,-0.84%
2024/4/29,138.5,138,138.65,135.91,10.03M,0.14%
2024/4/26,138.3,136.81,138.74,135.95,9.45M,1.26%
2024/4/25,136.58,130,137.84,128.86,18.03M,2.71%
2024/4/24,132.97,136.09,136.29,131.54,15.56M,-0.34%
2024/4/23,133.43,131.36,133.71,130.66,12.57M,2.84%
2024/4/22,129.75,126.75,130.66,125.78,18.56M,1.61%
2024/4/19,127.7,129.37,131.55,126.64,28.28M,-3.46%
2024/4/18,132.27,132.89,135.13,130.3,39.31M,-4.86%
2024/4/17,139.03,141.13,142.57,137.36,18.82M,-0.55%
2024/4/16,139.8,137.89,140.54,137.06,14.22M,-0.24%
2024/4/15,140.14,145.02,145.48,139.88,13.46M,-1.67%
2024/4/12,142.52,145,146.51,142.15,12.02M,-3.18%
2024/4/11,147.2,147.2,147.56,144.13,11.82M,0.67%
2024/4/10,146.22,146.63,148.43,145.26,18.86M,0.56%
2024/4/9,145.4,146.26,148.17,142.95,18.49M,1.83%
2024/4/8,142.79,145.24,146,142.76,16.31M,1.01%
2024/4/5,141.36,140,142,138.92,8.26M,1.22%
2024/4/4,139.66,144,146.75,139.43,15.76M,-1.65%
2024/4/3,142,138.58,142.93,138.39,9.71M,1.27%
2024/4/2,140.22,140.38,141.04,139.35,9.87M,-0.90%
2024/4/1,141.49,137.29,142.96,137.05,14.22M,4.00%
2024/3/28,136.05,135.68,136.8,135.44,10.02M,-0.47%
2024/3/27,136.69,138.86,139.28,135.15,13.84M,-1.55%
2024/3/26,138.84,140.61,140.96,138.64,10.79M,-0.99%
2024/3/25,140.23,140.16,141.68,139.26,9.92M,-0.22%
2024/3/22,140.54,139.4,141.34,139.11,9.94M,0.78%
2024/3/21,139.45,142.55,142.6,139.04,17.81M,1.97%
2024/3/20,136.75,136.53,137.31,135.01,12.75M,1.39%
2024/3/19,134.87,135.3,136.27,133.03,17.34M,-1.30%
2024/3/18,136.64,140.18,141.54,136.61,14.73M,-0.25%
2024/3/15,136.98,135.44,137.7,134.63,22.75M,-1.89%
2024/3/14,139.62,142.61,143.1,139.02,14.96M,-1.77%
2024/3/13,142.14,143.05,143.23,141.37,12.92M,-1.57%
2024/3/12,144.4,144.52,146.7,140.57,21.22M,3.87%
2024/3/11,139.02,143.62,144.4,138.93,29.23M,-5.02%
2024/3/8,146.37,153.9,158.4,144.93,43.86M,-1.90%
2024/3/7,149.2,144.9,151.6,144.15,34.68M,5.39%
2024/3/6,141.57,138.8,144,138.61,22.29M,4.89%
2024/3/5,134.97,137.12,137.43,133.73,13.69M,-2.38%
2024/3/4,138.26,139.94,141.99,137.68,26.54M,3.26%
2024/3/1,133.9,130.13,136.65,130.1,24.39M,4.06%
2024/2/29,128.67,128.03,129.19,127.15,9.37M,1.01%
2024/2/28,127.38,128.5,128.58,126.65,6.52M,-0.94%
2024/2/27,128.59,130.77,131.97,128.59,8.85M,-1.57%
2024/2/26,130.64,130.02,131.23,128.56,9.53M,0.86%
2024/2/23,129.53,130.5,131.01,127.73,10.12M,0.36%
2024/2/22,129.07,129.69,131.48,129,17.01M,2.98%
2024/2/21,125.34,124.43,125.38,122.91,11.58M,0.01%
2024/2/20,125.33,126.89,127.06,124.14,12.04M,-1.07%
2024/2/16,126.69,127.13,128.64,125.81,13.10M,-1.81%
2024/2/15,129.03,130.8,131.13,128.35,12.55M,-0.19%
2024/2/14,129.27,129.63,130.79,127.96,13.07M,1.35%
2024/2/13,127.55,127.93,129.92,126.47,14.49M,-2.23%
2024/2/12,130.46,133.27,133.51,130.26,14.20M,-1.99%
2024/2/9,133.11,134.5,135.17,130.59,16.98M,-0.46%
2024/2/8,133.73,127,134.75,126.11,33.37M,7.00%
2024/2/7,124.98,120.01,125,120,18.17M,4.69%
2024/2/6,119.38,120.12,120.99,118.28,11.51M,0.50%
2024/2/5,118.79,117.13,119.54,116.58,13.27M,2.63%
